Text,Sentiment
"Good one, thank you OnePlus",Positive
"The media could not be loaded.
                



 बैटरी लाइफ वेरी वेरी पुअर",Neutral
One plus,Neutral
NICE PRODUCT,Positive
Good,Positive
Battery consumption is very fast,Positive
Excellent,Positive
I like,Neutral
Superb Go for It...✌️,Positive
Nice mobile,Positive
Awesome product...,Positive
"Fast charging, very very fast discharge.Else other camera & other performance is good",Positive
After three months of use... honest review for all of you...most of the features are good.howvwr it has very high heating issues and things stop working when it will heat up a bit. Had a word with CS team. They are giving options for troubleshooting but no one bothering to fix issue. Not worth buying this phone,Positive
"Excellent Mobile, Value for money,Good battery life. Excellent Camera Quality",Positive
Battery life is ok Only one day using Charge bown,Positive
Phone's look is good but camera quality is bad and battery life is not so good,Positive
Been using this phone since 3 months and it’s worth the priceCamera is goodBattery life is very niceIt has a sleek look and looks very classy and I guess if anyone want a good phone in decent price this is a perfect solution,Positive
अच्छा,Neutral
Poor camera quality so not satisfiedExcept camera Avery thing is very good qualitative,Positive
Supper,Neutral
It could be more if there was steel back,Positive
Lot of positives but this device has a couple of problems...Proximity sensor is not workingWhen ever i get a call on home screen(when device is unlocked) it isn't visible on full screen..,Positive
Good but not the best as expected from one plus and don't buy from Darshita Electronics seller. They take so much time to deliver and all excitement fades away. But the product is good not the best as expected,Positive
Very best mobile this price range Thank you for one plus,Positive
Camera and fast charging,Positive
Good,Positive
Phone to accha hai lakin,Neutral
"As usual oneplus phone are very good. But i received a product which was not setting up. When i reported this to amazon, they appointed a technician for it. And when phone still din’t go through i placed a replaced request and seller immediately sent another phone. Nice product and service, a combo which consumer always look for.",Positive
"Sleek and smart phone with lots of new features, easy usage and handling",Positive
Good product,Positive
Nice phone on this price range. Go for it!,Positive
"At this price nice phone 📱,but one things not given as a one plus phone alert sider not given.",Positive
Overall performance of the phone is good but some doubt in battery life is not up too the mark.,Positive
"In the range of 18-20k this phone is best in every case , don't think twice while buying",Positive
The media could not be loaded.,Neutral
"The media could not be loaded.
                



 Such a great phone of my life ❤️ I really happy to have this gift",Positive
Nice mobile.....offer prize 18000 thousand ki vachhindhi,Positive
"Good phone under budget. Seems like color OS, rather than",Positive
best,Positive
Working and respond is slow as compared to other android phones in similar categories,Negative
Camera quality is worst than a 5K rs phone. Very disappointed after buying this phone.,Negative
Good quality and good connectivity,Positive
Fantastic,Positive
Good Purchase ..Super Fast Charging and battery life is also good .Plus the UI interface is also clean .I am using this phone for the past one month and not yet faced any issue 🙂 .No heating issue ..Camera could have been better but it's ok.,Positive
finger print reader location is not comfortableCamera quality not very goodrest ok,Positive
It is very nice mobile to use,Positive
Performance wise it's a bit behind when compared to samsung galaxy,Positive
Experience of oneplus nord ce 2 5g  is very good. I am happy with this mobile.,Positive
Problem with sensorIn every call facing problem with sensor,Neutral
"Speed ,performance is exceptional.Camera is very average, few controls/ software need to be updated/ renewed",Negative
sometimes it lags when someone calls. Battery life is ok.,Positive
Very nice mobile,Positive
"Best mobile, brilliant camera quality",Positive
Phone is Preety good in this price range and battery life alsoThe screen is not that much smooth as expected,Positive
Awesome features for a very low price!One plus gave everything in this one!!Battery 5k!! Very rare for one plus 😂Better than Nord CE and still cheaper!Ideal smartphone if u have a low budget.,Positive
Battery life not good other wise good phone.,Positive
Battery and camera r awesome,Positive
I gifted to my brother .. he loved it,Positive
Very good phone. Touch sensitivity is very smooth. No lack . No heating problem....,Positive
"The phone is looking good, the camera was lower light photos bad quality & daylight photos good quality, fingerprint was some times not detected, face lock very good, playing games very good, I got including offer 16500rs value of money 😍 6gb + 128 gb memory",Positive
"Phone is started heat and hang within few days also facing Batry back up issue, I talked amazon customer care about the problem but they were unable to return my phone",Negative
Best mobile under 20k,Positive
Good &smooth functioning,Positive
Easy to use,Positive
Good,Positive
Battery life is less,Negative
Good,Positive
GOOD ONE,Positive
"Decent phone. Amazing battery. Average camera. Very light weighted and amazing to hold. Looks elegant (for the price range). Great screen quality. Average speakers. Fast and accurate face id but slow fingerprint reader. Comes with 3.5mm jack. Go for the blue colour, grey looks ugly.",Positive
From One Plus 5 to this phone has been a seamless and better experience.,Positive
Overall the performance is good,Positive
Camera is not working properly,Neutral
Waste of money,Negative
Great,Positive
"I was deeply saddened by the unprofessional attitude of the seller. The seller (DARSHITA ELECTRONICS) lacked a basic sense of packaging delicate & costly items like smart phones. I received my phone poorly packed & moreover, the phone was shipped along with grocery items like liquid detergent & mosquito repellent in the same box, with no proper instructions & labelling. Thanks to God that my phone was working. Amazon needs to be much cautious in coordinating & instructing the seller.",Negative
"Battery life is Awesome, rare camera quality is good, cinematic pictures can be clicked in perfect quality...front camera could be improved a bit",Positive
Very good,Positive
I like this 1+...,Neutral
Kam dam mi bahtaren,Neutral
Greater,Positive
Nice,Positive
This Oneplus  mobile is. Not as per expectations... Aslo no dual speaker in phone only one at bottom. Not happy with this phone.,Negative
"1st day =>>Its heating too much. After normal use. Just setting up new mobile with email, finger print etc. Horrible quality.After 2 days =>> heating issue, hangs, battery drains faster, finger print is not prompt, no premium feel, user interface is not user friendly, very basic functions, Simple user friendly functions are not providedAfter 20 days=>> After replacement, heating issue, battery drains faster, finger print is not prompt",Positive
Need to improve camera quality . According to 64 mp camera . Otherwise all is good,Positive
"I'm giving a geniune review of the product.Firstly I liked this mobile phone because it is light weight when compared to my OnePlus 7T, it very much comfortable when we hold it and when we carry it. I liked it's performance, it's refresh rate and the camera quality is decent, I liked the battery life. It has a 3.5mm earphone jack (no earphone is provided within the box) happy to see in OnePlus Brand.Design 4.5/5Performance 4.7/5Battery life 4.8/5Sound 4.8/5Camera 4.5/5Fingerprint response 4.8/5Front camera 4.5/5Overall 4.7/5It's an amazing mobile phone, if anybody wants to buy a 20,000/- range mobile phone then it's the best I can say.Received good packaging from Amazon.in without any damage and happy to receive a good mobile phone from Darshita Electronics.Thank you Amazon.in and Darshita Electronics had a great experience.",Positive
Last one week i used this mobile it was amazing performance all is good.,Positive
Very nice phone,Positive
This is good,Positive
Good 👍,Positive
I like phone,Neutral
"Not satisfied with the product, Nord is compromising product. Quality & performance is good but battery backup is not upto the mark. Hardly it stands upto 1day.",Positive
Nice product,Positive
Excellent Phone by One plus...1) Super battery backup2) Excellent display3) Superfast than peers....👍👌,Positive
Over-all it's fine if you really want 1+ in this price range.,Positive
New and good.,Positive
Battery life plays a vital role and it's worth for money... Camera and display quality is Good... everyone knows that Always one plus is good for display. Thanks for Amazon and oneplus,Positive
Yeah! AbsolutelyBut if you need more then choose otherThanks 🙏,Positive
Overall super mobile,Positive
Issue in the calling screen hide/show feature.The calling small screen which is shown when opened different app during call is not being hidden even after disconnecting the call. It is looking like the call is still ongoing.,Negative
"Safe ,look,Quality all's are Very Good as chinese Mobile MI Poco etc .मोबाइल कोई भी खरीदे परंतु चीन के कंपनियों का ना खरीदे यह मेरा व्यक्तिगत सलाह है",Positive
all are good more expectation i never feel before like this all inger print battery andbcamera all are awaesome,Positive
"The phone quality is good the main drawback is brightness,you always have to keep it higher",Positive
Not bed but and very good,Positive
"The device hangs 2-3 times in a day. The screen touch doesn't work effectively near the edges.Otherwise, it's a good option under 20k.",Positive
Avg,Neutral
Thikhi hai,Neutral
Good as expected,Positive
Overall good quality phone. 👌Camera good but front camera not good low light.Buttary good,Positive
"Recommend to buy one plus, better than Vivo, Oppo, Redmi, Xiaomi, Realme, Samsung",Positive
I like this phone,Neutral
This product is overall good,Positive
Camera quality is bestNo heating problem with fast chargingFull charge whithin 20minEasy to handleDecent phone,Positive
Very bad phone,Negative
"Over all Good Phone with Fast Charging,Looking Good in the Hand,If it was Amoled Display,It will be 5 Star Phone",Positive
Very poor quality,Negative
"Good OnePlus model with a decent camera. Battery seems to be very good, quick charger is just awesome, does the job in 45 mins or Lil lesser duration. Since 2 weeks there has not been much issues. Copying a contact, sharing is difficult that too through sms option. Messages automatically converts to mms and falls undelivered. This bug should be fixed.... Overall : users who were using a budget phone, this is a good change over. For users using flagship or premium phones earlier, this may not be a right option for them...",Positive
Awesome product 👍,Positive
Good,Positive
Not BAD,Positive
It's good 👍,Positive
3 days of usage - Doing awesome,Positive
Wonderful product . Value for money,Positive
Battery backup is best camera is not perfect,Positive
"I liked the look, headphone jack, speed charging, smooth processor.. camera quality is not up to the mark. But i don't use camera at all, i saw the reviews about bad camera before purchasing but anyways decided to buy it because i wanted a phone with headset jack.. anyways I'm happy with the phone but will not recommend anyone as there are other phones within the same price range that has better specs..",Positive
Good product,Positive
All good,Positive
"I like all its operations, functionsDislike it's cover",Neutral
That good,Positive
Product is good but not like OnePlus phones,Positive
Camera quality not good,Negative
Amazing mobile,Positive
Good phone.... go for it,Positive
Phone with good features,Positive
Nice mobile lucking so good grey mirror colour is very nice colour I like it,Positive
Nice phone,Positive
Worth for many.,Positive
Good phone,Positive
Very good mobile for using offical work,Positive
Ok so mbl is nice all features meet criteria camera quality is not that much goodDisplay is ips in amoled gen so its a disadvantage,Positive
I like this phone camera battery is also good and performance is very good I am use this phone i feel this is very smooth,Positive
"Phone is average, you'll get this only in this range .",Negative
Very nice mobile under 20k ...... Excellent mobile.... 100% worth for money,Positive
Best,Positive
Very good camera quality phone.,Positive
Nice phone,Positive
gooddddddddddddddddddddd,Neutral
Now using 📱 for one month. Good performance no complaint.,Positive
"Camera, Battery life etc is good. It charges very fast. The back key and toggle function aren't great though. Also wish there was Lasso function in the photo edit.",Positive
Good phone,Positive
Ok,Positive
I actually a fan of Oneplus mobiles. I am writing this review only becz it removed lock and unlock button.by removing this it lost an identity of Oneplus.,Neutral
A,Neutral
Nice,Positive
Battery life to short,Neutral
Bakwas hai,Neutral
Overall a great mid-segment phone with good camera and decent battery life,Positive
Like,Neutral
This phone is a perfect phone for a person who is normal user and want a good phone under 25k .DESIGN:-7.5BATTERY:-8CAMERA:-6PERFORMANCE:-7.5,Positive
"I received product 3 months ago. My personal experience is very great. Charging speed is very fast. Camera is not High quality but it's not bad also different features I've used that I don't used before it. Battery is getting drained after 24+ hrs of full use with internet on, using U Tube for 10 hrs continuously.I like the different features given by OnePlus like an Apple products.",Positive
"Bahu hi badhiya phone h.Is phone me OTG konsa kaam karta h, Mane SanDisk ka use Kiya tha ,wo nahi support kiya",Neutral
No need mention any of its specalities it is an awesome with a great deal it is a great mobile with awesome features the finger sensor was so good,Positive
"Camera quality nit good, look like Chanies phones",Positive
I used today received adoptor and charger cable to charge new phone but charging take more time to charge.,Positive
Processor could have been upper than 900.Design and ergonomics are great. Color is awesome,Positive
satisfactory,Neutral
Price segment gud phone,Neutral
Really nice. Love the overall feel of this phone.,Positive
Awesome battery lifeExtremely fast chargingGood camera qualityOverall a good deal in this price range,Positive
Camera quality is not good. Selfy camera is not good .rear camera also not good according to its price and brand,Negative
Camera quality poor,Negative
"The media could not be loaded.
                



 Very nice and cool",Positive
Camara quality very poor.Not happy to this type of OnePlus phone. overall  just ok phone.,Positive
One plus,Neutral
Nice,Positive
Mast,Neutral
Phone was too good when it was new..Cons..1. Getting hanged while using 6 months2.my photos automatically got deleted dont know why ;'!:!?!?!_?3.camera quality getting down day by day.4. After updating software many features are useless.5.Good things.1 photos in outdoor and in good light are very good specially in portrait mode.2. Battery charging is amazing ..you never feel when its charging 15 minutes are enough for the day.3. Good touch .4. Sound quality is awesome5 camera is ok6. Fingerprint sensor is awesomeOverall is all good but not happy on performance because i use trading apps and its get crushed app while switching to another app,Positive
I found out that the battery life is better than i expected several people where complaining over display brightness but I don't find any problems regarding itCamera is decent i hope they fix camera issues by updates in futureO.S is actually pretty goodFinger print and face unlock takes a bit second to unlock...,Positive
Good phone with required features with a trust of OnePlus brand,Positive
All brand compared it is best but not on iphone leval,Positive
Good battery backup.camera is good but no up to Mark,Positive
All features is good in this range,Positive
"দেখতে বেশ ভালো। ফটোও বেশ ভালো ওঠে, তবে ফোন করতে মাঝে মাঝে সমস্যা হয়, wifi calling এর কিছু একটা সমস্যা।",Neutral
Camera quality is good but battery is average.,Positive
In 25k budget this mobile is good looking also good light weight overall excellent,Positive
Nice,Positive
I like this phone...,Neutral
Mobile is light weight.but the camera quality need to improve. Overall product is ok.,Positive
"I am using OnePlus for the first time. The camera and performance, what I heard of, is not that good. But yes overall satisfactory.",Positive
"My Name is Arun, I purchased One Plus Nord on 2nd Alril 2022, From Yesterday my mobile got switched off it's not oning, Amazon team it's not even 6 months plz help me with this issue.",Neutral
I am giving this review because I have not had any problem with this phone till now.i have been using this phone for 2 monthsand there is no problem in running it.And I will thank the courier boy of amazon who delivered me ahead of time and the box opened in front of me.Thanks to Amazon & one plus⭐⭐⭐⭐🌟battery backup:-5/⭐⭐⭐⭐⭐fingerprint reader:-5/⭐⭐⭐⭐⭐camera quality:-5/⭐⭐⭐⭐⭐,Neutral
Fingerprint reader must to be want at centre of the mobile it's easy to handle and smoothly can use better improvement for new model..,Positive
Battry is good but camera is oky but vo bat nhi h is range me jo one plus me honi chahiye,Positive
It's a nice product.. Thank u Amazon,Positive
SCREEN IS NOT SO SATISFYING,Positive
"Screen & display is good,Better battery performance, fast charging, fingerprint & face unlock system is good,Average camera quality, can opt other brands for better camera/picture at this price",Positive
Features are good. Sensors are working well.,Positive
Fingerprint reader is okBattery is perfectCamera is not good,Negative
"Except camera quality,phone is good in price range",Positive
"Fingerprint reader something doesn’t work, battery life is good or camera quality is average.",Positive
Love camera most and over all very good .,Positive
Worsttttt phone!!!!! Heating issues battery is draining super fastttt sometimes  social media handles justtt goo blank...one plus quality is not good now 🙂🔪🔪 buy it and regret later on,Positive
Sab badhiya hai,Neutral
"Camera is fine not awesome. When I received my order packing was open,but I made a video of in case do not have phone inside. But finally I got it inside.",Negative
"One Plus mobile performance is good, i used almost one months and result is good battery life also OK",Positive
Good product and worth for money,Positive
"better future in others mobile, but not best future",Neutral
Battery back should be more.,Positive
Nice one camera quality is wow...,Positive
Lost this mobile today in my college.. My mobile internet was off.. how can I try to find it,Neutral
Noting this a great product,Positive
Good phone for average user you also do gaming in this but like casual gamer camera is good display is good I have using since 3 weeks good performance battery life is good and at this range it is first OnePlus phone,Positive
It's hanging man!! After the use of 10 days😶,Neutral
Overall phone performance is very good.,Positive
Same as above,Neutral
As expected a low budget one plus product could be,Negative
Camera was not up to Mark as per 1+ brand,Neutral
Mobile is good but after 2month spikerproblems,Positive
Excellent offer,Positive
Average camera,Negative
Very nice performance ☺️,Positive
"1.Display2.CameraBad,1. Battery Super2. Slim and stylish design3. OnePlus Brand.........",Positive
"This phone is very easy to carry and light weight, but only problem is phone gets heated little bit even for intermediate usage.",Positive
Phone is ok Amazon should be think about fast delivery.,Positive
"I am a long time One plus user and very fond of the quality of these phones and it's softwares. But after using this phone I am disappointed. It lags whenever watching movie on Prime or Zee5, video lags. Even while getting call its screen gets white and after 10 seconds you will get to know that flaa person is calling.Earlier I was using One plus 7T now I am literally missing that phone.",Negative
Automatically the dark mode comes on. The radio icon or the compass icon is not inbuilt.,Negative
Great phone for an under 20k budget. Battery life is very good and so isfast charging. Touch response and fingerprint reader are on point as well. Camera is not the best out there but it does a decent job.,Positive
Camera quality is poor,Negative
Very good product,Positive
Good,Positive
Overall good phone..but battery backup may be issue for heavy user..,Positive
It is the best phone for performance and battery... But display has a thicker chin which may be disappointing.... But the 90hz display is the best one for this price definitely recommend at this price with good capable rear cam,Positive
Pehle sab mujhe ignore karte theeee.....Fir mene oneplus ka mobile le liyaaaa......🤣🤣Best part of it is I didn't had to worry about Android 11 anymore as I got updated to Android 12 in very first month. Performance is cool. Look is cool. Camera is cool. Gaming is cool. You will get fulfilled on very first update. Means dude what else you need. Attractive choice👌👌👌👌,Positive
"we could not judge a phone on 5 to 6 days used, as initially  i feel that the 1 plus nord CE2 having good features & its really feel smooth during handling , & having feel brand value too..but i expected that after 1 yr or onward the phone should have same consistency too... at that time we can say that brand value are trustworthy...because we have also pay same for that comparing to other branded phone.. but now overall is amazing lets see onward...",Positive
Not so good like. It can be better,Positive
Everything is good... Camera is top notch... Just one con.. Battery gets drained within 1 day even if u don't use it...but it charges to 100% within 15 mins bcoz of ultra fast charging so no issues as such.. Go and buy this beast🔥🔥🔥 in Affordable pricing Range ..,Positive
"this phone is ok but after receive the call and lift it to ear then don't off the screen actually approximate sensor dot not working good, the screen touch is very bad anywehe open the menu etc etc.",Negative
Very nice phone 👍📱,Positive
Getting hang,Neutral
Osm mobile,Neutral
Battery backup disappointed,Negative
Poor battery backup,Negative
"Good for performance,Dislike battery backup.",Positive
Nice phone must buy,Positive
Awesome product ..I like it ...it's quality is good,Positive
over all good,Positive
Good,Positive
"Absolutely great phone for android users, faster charging, longer battery life, good camera quality, stylish phone, ultra slip and light weight. Overall Great Phone.",Positive
Highly Disappointed with the battery backup it drains fast apart from that phone is decent,Negative
"Great battery life, fast charging is also very good but I'm little bit disappointed with camera quality is not OnePlus qualityAnd Little bit heating issue is also thereBut good quality phone",Positive
Awesome mobile  one plus,Positive
"The media could not be loaded.
                



 Im writing this review after using the mobile for one month . The purpose of writing the review is to help the ppl who are planning to buy this phone. Even i do read read the reviews before purchasing any product online. if the review is honest it helps customers to take decision. If we talk about phone...the phone is very average. its design is very catchy but performance is very average. Battery of of phone drains very fast. Theres some heating issues issues in the phone . The phone hangs most of the times. The fingerprint sensor lags. There are lots of bugs in the phone. one of the biggest issue is after disconnecting the call..the call connect logo remains on ghe home screen.",Positive
I liked processor and ram .Display is ok .Camera is not nice.,Positive
Fabulous phone.. Built quality awesome... Camera is just wow... Battery backup is longer n longer.. Go for it.. Must buy,Positive
Battery lyf is good...Not much heating issues...Charger is awesome...However screen goes completely white for a moment while I make calls ....,Positive
Battery backup has been Best,Positive
Nice,Positive
May rank low in terms of popularity/ usgae but is a worthy buy.,Negative
Value for money.,Neutral
Writing this Review after one month of Usage: The Performance was Extremely Good at this Price Range. Brand Value Speaks. Camera quality equals to Iphone. Battery life was little bit Disappointing but we have Ultra Fast 65W Charging it may take just 15 mins to get full charge! Remaining everything was Perfect!,Positive
Battery life goodCharging speed goodCamera not as much as expectedPerformance overall good not excellent in thi priceNot for gamers,Positive
The product was delivered on the same day of the order & it was a surprise for me.Till now it's satisfactory in use. I m happy 😊 with the product.,Positive
Good,Positive
Front camera not good,Negative
Great deal.. Quite good product 25k worth.,Positive
Best quality,Positive
All so good👍,Neutral
Good 👍 Mobile,Positive
Phone is too good. This is the cheapest phone in the one plus,Positive
It's a very good budget phone.You get every thing which is needed for making it work through now a day technologySome features are wack but yaa out of 100 i would give this phone a good 81,Positive
All in all okay,Positive
Camera is pathetic. Battery life normal. Everything is just avarage. Not at par with the description at all. And overhyped by people. Regret buying it,Negative
Phone display and camera and build quality awesome,Positive
I like all the things in it except SIM SLOT ISSUE,Neutral
Product is awesome,Positive
Budget phone,Neutral
"OnePlus Nord CE 2 Lite 5G with 6GB RAM, 128GB Storage It's really amazing that you are getting a OnePlus in this range. It's feature isn't disappointing. 64 Cam, 120 Hz Ref. Rate, 695 Q. Processor & Dual Mode video etc. Forget about Amoled Display because You are getting OnePlus in this range it's a big Deal. This brand has a extra charge that's why others Company always tries to give extra features. It's all about Brand Value. I love this phone. Go for it.",Positive
Screen quality is top notch.Camera very good.Charging speed superb.Allrounder mobile.,Positive
Fantastic,Positive
Ok,Positive
Overall good phone in this range . After one month use.,Positive
"The media could not be loaded.
                



 Good I like it, but finger prints should be given separately.",Positive
owesom mobile fast charge . look like beautiful,Positive
Good,Positive
Good,Positive
"The media could not be loaded.
                



 Battery backup is superb. Very smooth touch. In this price..the best branded mobile in the market.",Positive
Super,Positive
Ok,Positive
Camera quality is okok not as expected from oneplus.,Negative
Nice product. Satisfied..,Positive
"Battery is not good for heavy user, otherwise it is good phone for this price...",Positive
Good,Positive
-,Neutral
Beautiful DesignGood AMOLED displayClean UIPowerful Battery,Positive
Could have had even more features at this costNot the best smartphone at this price and time,Positive
Nice mobile nd Amazon fast service,Positive
Super,Positive
Goood,Neutral
One plus this is good product battery 🔋 is good but  tuch is hard.,Positive
The media could not be loaded.,Neutral
Phone's colour is very attractive...camera clarity is superb...i loved it...👌,Positive
"After using for 4months, here are the few issue I have faced.1. Software issue, even after disconnecting calls the call floating window still appears. Which is unlikely .2. Even after Bluetooth earphone is connected, the call doesn't went through BT earphone. To make it work need to restart the phone. Though this situation occur only sometime",Negative
"The phone performance in very good 👍👍👍 but battery performance is ok ok not very good ,,,but one thing the charging is very fast around 34 min 0 to 100%👍👍👍Over all a good phone not very good 📱",Positive
Everything good but front camera quality is not upto the mark,Positive
Ek jor mobile ( one plus ) is simply unbeatable..,Neutral
Good product,Positive
"I have recently bought this phone 2 days back and I have exchanged my redmi note 7s for this which I was using for past 3 years,the exchange process was smooth and the delivery agent was helpful and very patient.Coming to the model,I m first time OnePlus user but people in my family were using OnePlus earlier, the camera quality and refresh rate is good I'm only disappointed by battery backup the phone charges in 15mins but at night when I sleep I switch off internet connection and the phone is on battery saver mode still phone lost 10% battery this is very disappointing that when I'm not even using it and the phone is new then why this is happening.",Negative
"Phone is sexy, and the camera is super cool",Positive
Good quality productWorth money,Positive
Ok as entry level phone,Positive
1 +,Neutral
Nice,Positive
Super,Positive
Ok,Positive
Like,Neutral
Great mobile with affordable price....,Positive
Super performance,Positive
"The media could not be loaded.
                



 Just Amazing phone it is.... Camara Just A1 good for new blogger .... Charging time 30min 100%...but battery not so good but ok ok ....",Positive
Great,Positive
Better than competitors. Happy with the purchase. Highly recommended.,Positive
I love this,Positive
Good product,Positive
The media could not be loaded.,Neutral
good,Positive
Good mobile.,Positive
All Nice,Positive
It's too goood,Neutral
Good,Positive
Phone is at his best.but dissapoint with android version 11.it should be come with 12,Neutral
Good quality Phone,Positive
the phone is good for that price but Camer quality is not good ...,Positive
Good,Positive
Mobile battery averageCamera quality 3rd gradeAfter used 1month mobile phone hang,Neutral
"Phone is great, but delivery is almost took 7 days. Make it fast Amazon, work on it.",Positive
Awesome,Positive
Phone is good,Positive
Display and camera not upto mark.Waste of money....,Neutral
Functional is ok. But not a best phone on this range.,Neutral
"Phone performance, camera quality is good. the only issue is with the battery which drains quickly even with basic use.",Positive
Camera worst,Negative
Nice mobile phone from OnePlus. Happy with Amazon.,Positive
This is Durga Puja so I bought this phone.  OnePlus company's latest 5G phone is the lowest price so I like it very much,Positive
Everything is ok but plastic body that is bad which is cons. of this mobile otherwise I would give thumps up.,Negative
The media could not be loaded.,Neutral
Awesome and good looking,Positive
"Review after 10 days.It's a very good and practical phone if you are able to purchase it under 20k by applying coupons and exchange.Build : I like metal build but Ok with the plastic and Glass builds as well. This is very light and compact phone made by plastic back and frame.Display : 90 Hz is a sweet spot. Feels smooth and good on battery as well.Performance : Processor is doing more than good for day to day tasks. I don't play games so I can't comment on it.Battery : 4500MAH is decent power. It can last a day. 65W charger is amazing charges battery in 35 mins.Os : It's still clean Oxygen os on top of Color os. They should have given Android 12 out of the box.Camera : Missing OIS but not so many phone come in this price range with it. It clicks decent photos and videos in good lighting but struggles a lot in poor light conditions.Cons : I feel they should have provided stereo speakers, iconic alert slider, OIS in main camera and Android 12 out of box.",Positive
Good,Positive
Outstanding!!,Positive
"मुझे इसका UI काफ़ी पसंद आया, केवल LCD डिस्प्ले को छोड़कर बाकी सब काबिल–ए–तारीफ़ है। Recommended.",Neutral
Good but was expecting more,Positive
Worth for money. Speed is good,Positive
Camera quality is very poor .,Negative
Good,Positive
Nice phone,Positive
Very easy to hold,Positive
Excellent performance,Positive
"First of all thanks to Amazon for their fast dilevery. An awesome package in 20k, the build quality is great, camera is really very impressive and amazing and i personally liked it and it is one of the  :->Best camera (both front and back) i had seen in 20k 5/5⭐.:->Best performance, any game you play will be available in high ultra graphics and really smooth gameplay, and you can feel the smoothness of 120hz refresh rate and i personally liked it 5/5⭐ but just missing ultrawide feature.:-> Battery 🔋 backup is really impressive you can easily get a day's backup even after a heavy usage and gameplay and other multitasking work and it includes 33v supervooc charger which will charge your device in just 1.5hr from 0 to 100% otherwise in 30min charge it will charge almost 60-65%. 4.8/5 ⭐.:-> Fingerprint and face unlock are very fast like other one plus mobiles5/5 ⭐.:-> One of the best operating system with null or a few blotware4.8/5 ⭐.:-> Only missing the amoled screen which is given in other one plus mobiles.Final review:-Its an amazing package in 20k as compared to other brands device with similar price range, believe me you won't regret after buying this phone, afterall it's OnePlus.And last and final thing for those who think 695sd is a slow processor, i want to correct them that its 5g optimized and works even faster and smoother then sd 712, 732g, 750sd.Lastly thanks OnePlus for this amazing package 🥰🤩.",Positive
"Battery, camera, fingerprint is better",Positive
Good product,Positive
I am really satisfied with this Product. I must recommend to it for who wants buy mobile.,Positive
3rd class camera quality in indore,Neutral
"+ves1. Good camera2. Excellent response to touch3. Installation of all apps from previous phone (without direct transfer) and readiness to use was very good4. Input for earphones (with wire) is designed to take any earphone, they got away with previous model, a big relief5. Lighter in weight, sleek and thinner, Grey Mirror looks very stylish-ves1. Longer time to recharge battery, OnePlus was a class act, even after using for 3 years, battery recharge was done in 1 hour!2. Changes in user interface, made adaption little tricky3. Speaker sound part could have been better",Positive
Just the brand name... Just the Oxygen OS is good... The user interface is good... The camera is not well,Positive
In this range mobile is best.Mobile display is the bestest 😉 in Amoled display etc,Neutral
Quick response allover best deal,Positive
Phone is good but charging cable feels weak,Positive
"Great phone. Amazing camera. Stylish, beautiful and great performance.",Positive
I have used this phone for a month it has decent performance battery life and camera quality is also great in this price range got this for 18k,Positive
Very good,Positive
NFC ke bare bataye,Positive
Super quality,Positive
Glassy and nice llok,Positive
Very nice phone I'm in love with this everything is perfect in this range really good,Positive
I don't know i am not the user..,Neutral
"Its a very nice, handy light weight, nice display good performance phone. More options available for customisation. Very happy to use this phone. Loved this model.",Positive
Good,Positive
Very Nice,Positive
Camera quality is very poor,Negative
Worth for money.,Positive
"The phone has good quality camera, fast processor, fast charging. Low light photos could have been better it’s not bad. Phone misses out on ultra wide lens.",Positive
"Camera is not satisfactory, lot of background sound captures while shooting video. No noise cancellation option is available.. I am disappointed with camera performance. Rest are okay.",Positive
In box cover cash was missing is very bad.,Negative
Wifi connection not good,Negative
I used it for WhatsApp,Neutral
I am happy 😊,Positive
I like this mobile,Neutral
Camera Quality is very good....,Positive
Camera is just worst,Negative
Camera,Neutral
Good phone but price high,Positive
"I Liked this phone very much.Its very smooth to use and also camera quality is good as well as fingerprint sensor,very stylish and premium look from the back.Overall I recommend one to purchase this phone of OnePlus.",Positive
Must buy,Neutral
Worthy for the price range,Positive
Overall best,Positive
"Camera is so good n very fast phone back look is awesomemost important thing is the phone has dedicated memory card slot ,3.5 audio jack I think this is the first one plus phone which has the dedicated slot for memory cardBattery backup is ok because  65w charger u can charge ur phone frm 50-100% in just 15 minsVery smooth touchInternet connectivity is also fast n lightning wit my Jio sim as u can c I hav pasted oneI think oneplus launched this phone with lots of good featuresI recommendJust go for it",Positive
Good Product 👍,Positive
No issue,Neutral
It's bit heavy other wise phone is good in this budget.,Positive
Contact disable suddenly and hang some time,Neutral
"I like it's screen and clearity, and most dislike is battery. Even in new set it discharges very fast.",Positive
"battery time not good, but charging was very faster and comfortable.I am identify phone was fast, sometimes it will be little bit hang",Negative
I am first time user of OnePlus mobile i bought this mobile on 1 May 2022 this is 3rd day I did not find any issue like heating or battery getting darinout soon I am not gamer still the phone is really awesome i would  really want to give geniune feedback.Oneplus Nord CE 2 is awesome phone. Before using OnePlus I have used Vivo 11 pro which is also one my best because of its 25mpix camera fast charging and battery life.Below are my ratings as per usagesFinger print reader 4/5Screen display 4/5Selfie camera 3/5Front main camera 4/5Battery life 4/5Phone body 4/5No phone heating issue,Positive
"Phone is good .. but when it comes to calling someone.. other person is unable to hear and you have to go in an open area so that the other person could hear . It is the major issue. Otherwise battery, camera quality is good",Positive
"Great Camera Sensors, great battery , nice looks, perfect performance, good product 💯",Positive
Thanku very much,Positive
